Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 05,Daniel,Waldo Cortes-Acosta,Andrei Arlovski,-750,W, 900:00,UD,Heavyweight,Main Card,M,M. Goddard
Season 05,Daniel,Mike Malott,Neil Magny,-380,L, 885:00,Round 3 TKO,Welterweight,Main Card,M,K. MacDonald
Season 05,Daniel,Yazmin Jauregui,Sam Hughes,-600,W, 900:00,UD,Strawweight (W),Main Card,F,H. Dean
Season 05,Goro,Kelvin Gastelum,Sean Brady,100,L, 703:00,Round 3 Sub,Welterweight,Main Card,M,J. Montalvo
Season 05,Ian,Kelvin Gastelum,Sean Brady,100,L, 703:00,Round 3 Sub,Welterweight,Main Card,M,J. Montalvo
Season 05,Ian,Waldo Cortes-Acosta,Andrei Arlovski,-750,W, 900:00,UD,Heavyweight,Main Card,M,M. Goddard
Season 05,Ian,Mike Malott,Neil Magny,-380,L, 885:00,Round 3 TKO,Welterweight,Main Card,M,K. MacDonald
Season 05,Joe,Joaquim Silva,Clay Guida,-320,W, 900:00,UD,Lightweight,Main Card,M,M. Smith
Season 05,Joe,Khalil Rountree Jr,Anthony Smith,-200,W, 656:00,Round 3 TKO,Light Heavyweight,Main Card,M,M. Smith
Season 05,Joe,Dustin Jacoby,Alonzo Menifield,-270,L, 900:00,UD,Light Heavyweight,Prelim,M,C. Tognoni
Season 05,Kanta,Punahele Soriano,Dustin Stoltzfus,-325,L, 550:00,Round 2 Sub,Middleweight,Main Card,M,K. Hatley
Season 05,Noah,Jamey-Lyn Horth,Veronica Hardy,-190,L, 900:00,SD,Flyweight (W),Prelim,F,M. Smith
Season 05,Rav,Deiveson Figueiredo,Rob Font,110,W, 900:00,UD,Bantamweight,Main Card,M,J. Rexroad
Season 05,Rav,Song Yadong,Chris Gutierrez,-375,W, 1500:00,UD,Bantamweight,Main Card,M,H. Dean
Season 05,Rav,Shavkat Rakhmonov,Stephen Thompson,-650,W, 595:00,Round 2 Sub,Welterweight,Main Card,M,J. Herzog
Season 05,Rav,Magomed Ankalaev,Johnny Walker,-550,W, 462:00,Round 2 TKO,Light Heavyweight,Main Card,M,M. Goddard
Season 05,Rav,Mike Malott,Neil Magny,-380,L, 885:00,Round 3 TKO,Welterweight,Main Card,M,K. MacDonald
Season 05,Taylan,Rodolfo Bellato,Ihor Potieria,-440,W, 557:00,Round 2 TKO,Light Heavyweight,Prelim,M,J. Montalvo
Season 05,Taylan,Tatsuro Taira,Carlos Hernandez,-600,W, 355:00,Round 2 TKO,Flyweight,Prelim,M,M. Smith
Season 05,Taylan,Shavkat Rakhmonov,Stephen Thompson,-650,W, 595:00,Round 2 Sub,Welterweight,Main Card,M,J. Herzog
Season 05,Taylan,Jean Silva,Westin Wilson,-950,W, 252:00,Round 1 TKO,Featherweight,Prelim,M,M. Goddard
Season 05,Taylan,Mike Malott,Neil Magny,-380,L, 885:00,Round 3 TKO,Welterweight,Main Card,M,K. MacDonald
Season 05,Taylan,,,,L,,,,,,
Season 05,Ty,Joaquim Silva,Clay Guida,-320,W, 900:00,UD,Lightweight,Main Card,M,M. Smith
Season 05,Ty,Khalil Rountree Jr,Anthony Smith,-200,W, 656:00,Round 3 TKO,Light Heavyweight,Main Card,M,M. Smith
Season 05,Ty,Shavkat Rakhmonov,Stephen Thompson,-650,W, 595:00,Round 2 Sub,Welterweight,Main Card,M,J. Herzog
Season 05,Ty,Farid Basharat,Taylor Lapilus,-280,W, 900:00,UD,Bantamweight,Prelim,M,C. Tognoni
Season 05,Ty,Mike Malott,Neil Magny,-380,L, 885:00,Round 3 TKO,Welterweight,Main Card,M,K. MacDonald
Season 06,Aaron,Petr Yan,Song Yadong,-155,W, 900:00,UD,Bantamweight,Main Card,M,K. Peterson
Season 06,Aaron,Tai Tuivasa,Marcin Tybura,-115,L, 248:00,Round 1 Sub,Heavyweight,Main Card,M,H. Dean
Season 06,Alex,Asu Almabayev,CJ Vargas,-600,W, 900:00,UD,Catchweight,E-Prelim,M,K. Peterson
Season 06,Alex,Tai Tuivasa,Marcin Tybura,-115,L, 248:00,Round 1 Sub,Heavyweight,Main Card,M,H. Dean
Season 06,Chika,Petr Yan,Song Yadong,-155,W, 900:00,UD,Bantamweight,Main Card,M,K. Peterson
